system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_01_01_142_0,14486,4565.195652173913,0.20776466,0.30515015,2022-01-01,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21451647322093,28.77875068192651]}"
2022_01_01_143_0,14546,3476.3260869565215,0.13834146,0.13653824,2022-01-01,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2264950380851,28.697811828623102]}"
2022_01_01_144_0,14459,3392.586956521739,0.17668486,0.17906761,2022-01-01,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1307939385824,28.85968953522993]}"
2022_01_01_145_0,14428,4078.586956521739,0.17827336,0.22463866,2022-01-01,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97251594005458,28.742777858236106]}"
2022_01_01_146_0,14395,4507.391304347826,0.21783057,0.23352148,2022-01-01,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07585112722816,28.868682741152536]}"
2022_01_01_147_0,14549,2205.3478260869565,0.09424045,0.13828376,2022-01-01,0.16592471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26331852532235,28.73378465231351]}"
2022_01_01_149_0,14584,2800.5,0.116799936,0.15815549,2022-01-01,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20360246895177,28.652845799010088]}"
2022_01_09_0_0,14441,2207.9565217391305,0.10671187,0.11326286,2022-01-09,0.15061837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99638868925872,28.607879769397083]}"
2022_01_09_1_0,14502,2590.478260869565,0.12491952,0.14819582,2022-01-09,0.14098074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12759544347581,28.688818622700495]}"
2022_01_09_2_0,14455,4191.739130434783,0.18928975,0.26316667,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96525700633302,28.76076427008131]}"
2022_01_09_3_0,14453,4245.739130434783,0.19666696,0.2379231,2022-01-09,0.14638105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04466431135975,28.58989335755188]}"
2022_01_09_4_0,14435,3879.2391304347825,0.16719575,0.21509185,2022-01-09,0.15517406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9182485648125,28.724791446390903]}"
2022_01_09_5_0,14452,4902.826086956522,0.21191697,0.2698968,2022-01-09,0.15747055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21757426013744,28.79673709377172]}"
2022_01_09_6_0,14501,3058.891304347826,0.14622246,0.18688756,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10047052264584,28.6798254167779]}"
2022_01_09_7_0,14503,2527.804347826087,0.09759985,0.152006,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13784715033128,28.688818622700495]}"
2022_01_09_8_0,14514,3586.717391304348,0.18145767,0.22954127,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01780946957889,28.7068050345457]}"
2022_01_09_9_0,14502,2590.478260869565,0.12491952,0.14819582,2022-01-09,0.14098074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12759544347581,28.688818622700495]}"
2022_01_09_10_0,14520,3555.2608695652175,0.14707024,0.26700413,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1824771346355,28.6798254167779]}"
2022_01_09_11_0,14510,2848.4347826086955,0.1216182,0.1242047,2022-01-09,0.14596471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1203441573855,28.7068050345457]}"
2022_01_09_12_0,14535,3826.586956521739,0.20153445,0.2518745,2022-01-09,0.1651918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23373126712907,28.6798254167779]}"
2022_01_09_13_0,14489,3295.304347826087,0.16936547,0.2248469,2022-01-09,0.14638105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.0907277768535,28.52694091609366]}"
2022_01_09_14_0,14507,3278.586956521739,0.14430983,0.121178895,2022-01-09,0.16592471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26222066223617,28.787743887849114]}"
2022_01_09_15_0,14448,4891.891304347826,0.22219034,0.2569847,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02620806052559,28.787743887849114]}"
2022_01_09_16_0,14523,4236.239130434783,0.18785946,0.21282212,2022-01-09,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1216061144047,28.805730299694318]}"
2022_01_09_17_0,14509,4126.695652173913,0.23494339,0.34367028,2022-01-09,0.14074071,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1903656788464,28.634859387164884]}"
2022_01_09_18_0,14488,3335.978260869565,0.16384955,0.16152608,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9943232543547,28.688818622700495]}"
2022_01_09_19_0,14417,3699.413043478261,0.1462295,0.2055523,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96225894257277,28.742777858236106]}"
2022_01_09_20_0,14458,3509.021739130435,0.17459296,0.18912923,2022-01-09,0.15885563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20371162077625,28.805730299694318]}"
2022_01_09_21_0,14465,5053.608695652174,0.23373777,0.3156122,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.98474594628591,28.661839004932695]}"
2022_01_09_22_0,14481,3610.282608695652,0.19120008,0.15550703,2022-01-09,0.14638105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08049185477498,28.52694091609366]}"
2022_01_09_23_0,14469,3935.4565217391305,0.18063594,0.24770486,2022-01-09,0.15051481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99068552291544,28.697811828623102]}"
2022_01_09_24_0,14499,3889.391304347826,0.18443146,0.25448295,2022-01-09,0.14200604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18509365210616,28.571906945706672]}"
2022_01_09_25_0,14531,4099.913043478261,0.15351705,0.19741832,2022-01-09,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06482891739093,28.742777858236106]}"
2022_01_09_26_0,14521,3122.5,0.13830712,0.14010532,2022-01-09,0.1404491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.119732919525,28.73378465231351]}"
2022_01_09_27_0,14455,4445.021739130435,0.19860908,0.25160107,2022-01-09,0.13951269,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05531232924119,28.868682741152536]}"
2022_01_09_28_0,14504,3243.6521739130435,0.15388049,0.22035693,2022-01-09,0.1455553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02443127661282,28.715798240468306]}"
