system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_06_02_106_0,15065,4118.782608695652,0.19553705,0.1712755,2022-06-02,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74534366223367,12.968694669992468]}"
2022_06_02_107_0,15146,3107.021739130435,0.1617196,0.18063067,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60942976259729,12.887755816689056]}"
2022_06_02_108_0,15112,4232.5,0.17475255,0.22767743,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52070599803727,13.076613141063692]}"
2022_06_02_109_0,15122,4220.804347826087,0.20199037,0.27391508,2022-06-02,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50343783704096,12.932721846302062]}"
2022_06_02_110_0,15179,3031.0,0.15044372,0.14720215,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67298053069268,12.824803375230838]}"
2022_06_02_111_0,15133,3172.304347826087,0.17799477,0.20632638,2022-06-02,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69404334609484,13.040640317373285]}"
2022_06_02_112_0,15061,3432.391304347826,0.1892151,0.1781162,2022-06-02,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60107756873347,12.860776198921245]}"
2022_06_02_113_0,15248,2905.021739130435,0.13750981,0.12899408,2022-06-02,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5671973692726,12.959701464069871]}"
2022_06_02_114_0,15056,5006.586956521739,0.21575108,0.2125775,2022-06-02,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66559734899944,13.067619935141078]}"
2022_06_02_115_0,15098,4957.478260869565,0.21025962,0.20865983,2022-06-02,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50506742221836,13.08560634698629]}"
2022_06_02_116_0,14979,5790.739130434783,0.26923597,0.31269765,2022-06-02,0.2183544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50605486632894,12.851782992998647]}"
2022_06_02_117_0,15112,4546.869565217391,0.19765852,0.20053476,2022-06-02,0.21867813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.75983310398667,12.896749022611653]}"
2022_06_02_118_0,15066,4690.239130434783,0.27304015,0.25944036,2022-06-02,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.42961968415806,12.932721846302062]}"
2022_06_02_119_0,15119,3242.913043478261,0.18454096,0.19950214,2022-06-02,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5909785439021,12.887755816689056]}"
2022_06_02_120_0,15136,2989.6304347826085,0.15152742,0.14087722,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6592092049199,12.869769404843844]}"
2022_06_02_121_0,15217,3056.0434782608695,0.13925016,0.1372415,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54070879280653,13.022653905528072]}"
2022_06_02_122_0,15038,4985.934782608696,0.23413126,0.2058036,2022-06-02,0.2183544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50429318246717,12.905742228534251]}"
2022_06_02_123_0,15134,4739.826086956522,0.20967886,0.2441757,2022-06-02,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59126308442262,12.977687875915066]}"
2022_06_02_124_0,15081,3921.3695652173915,0.20908064,0.22869283,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53276630020986,13.08560634698629]}"
